ID_Venta,Fecha,Pais,Ciudad,Cliente,Producto,Categoria,Cantidad,Precio_Unitario,Monto_Total,Medio_Envio,Estado_Envio
41,23/1/2025,Peru,Lima,Carlos Lopez,Escritorio,Muebles,5,297,1488,Aereo,Entregado
42,11/9/2024,Peru,Cusco,Carlos Perez,Impresora,Oficina,3,95,286,Terrestre,Pendiente
43,26/3/2025,Venezuela,Caracas,Maria Sanchez,Camara,Electronica,2,113,227,Maritimo,Cancelado
44,31/1/2024,Colombia,Bogota,Carlos Perez,Monitor,Electronica,4,151,606,Terrestre,Pendiente
45,30/8/2024,Peru,Arequipa,Lucia Martinez,Auriculares,Accesorios,3,566,1698,Aereo,Entregado
46,18/10/2024,Chile,Santiago,Luis Lopez,Celular,Electronica,5,552,2762,Maritimo,Entregado
47,3/2/2024,Peru,Lima,Lucia Perez,Impresora,Oficina,3,777,2331,Aereo,Entregado
48,6/3/2025,Peru,Cusco,Laura Garcia,Auriculares,Accesorios,4,440,1762,Maritimo,Cancelado
49,22/3/2024,Bolivia,La Paz,Ana Rodriguez,Auriculares,Accesorios,2,323,647,Maritimo,Pendiente
50,27/1/2024,Venezuela,Valencia,Laura Sanchez,Teclado,Accesorios,1,1014,1014,Maritimo,Cancelado
51,18/1/2025,Argentina,Cordoba,Pedro Lopez,Impresora,Oficina,3,262,786,Aereo,Entregado
52,2/11/2024,Brasil,Rio de Janeiro,Lucia Lopez,Teclado,Accesorios,5,1144,5720,Terrestre,Pendiente
53,21/9/2024,Uruguay,Montevideo,Pedro Garcia,Laptop,Electronica,2,757,1515,Terrestre,Cancelado
54,8/3/2025,Ecuador,Guayaquil,Juan Rodriguez,Auriculares,Accesorios,1,451,451,Aereo,En transito
55,24/2/2025,Bolivia,La Paz,Ana Martinez,Silla ergonomica,Muebles,5,896,4484,Aereo,Entregado
56,12/2/2024,Venezuela,Maracaibo,Maria Martinez,Monitor,Electronica,1,171,171,Aereo,Entregado
57,13/5/2024,Peru,Cusco,Lucia Lopez,Camara,Electronica,2,632,1265,Aereo,Pendiente
58,30/5/2024,Argentina,Rosario,Juan Perez,Auriculares,Accesorios,4,790,3161,Aereo,Cancelado
59,4/7/2024,Ecuador,Quito,Maria Garcia,Teclado,Accesorios,1,967,967,Aereo,En transito
60,18/6/2024,Uruguay,Montevideo,Pedro Lopez,Auriculares,Accesorios,4,1166,4667,Aereo,Cancelado
61,3/12/2024,Argentina,Cordoba,Laura Sanchez,Monitor,Electronica,1,1184,1184,Aereo,Cancelado
62,16/1/2024,Ecuador,Guayaquil,Laura Martinez,Tablet,Electronica,5,778,3890,Maritimo,Pendiente
63,5/11/2024,Bolivia,La Paz,Luis Lopez,Tablet,Electronica,4,1090,4361,Aereo,En transito
64,7/9/2024,Venezuela,Maracaibo,Maria Martinez,Laptop,Electronica,1,1010,1010,Terrestre,Pendiente
65,30/11/2024,Peru,Cusco,Juan Martinez,Silla ergonomica,Muebles,4,212,848,Terrestre,Cancelado
66,13/3/2024,Brasil,Rio de Janeiro,Juan Martinez,Monitor,Electronica,5,309,1545,Terrestre,En transito
67,22/7/2024,Colombia,Cali,Maria Garcia,Celular,Electronica,3,1086,3260,Aereo,En transito
68,14/5/2024,Colombia,Medellin,Carlos Sanchez,Silla ergonomica,Muebles,4,1014,4056,Aereo,En transito
69,28/2/2025,Ecuador,Quito,Pedro Garcia,Laptop,Electronica,2,332,664,Aereo,Entregado
70,19/1/2025,Argentina,Rosario,Laura Sanchez,Silla ergonomica,Muebles,5,813,4069,Aereo,En transito
71,21/2/2025,Bolivia,Santa Cruz,Ana Lopez,Camara,Electronica,1,565,565,Aereo,Entregado
72,13/9/2024,Bolivia,Santa Cruz,Maria Perez,Escritorio,Muebles,1,702,702,Aereo,En transito
73,18/3/2024,Argentina,Rosario,Ana Sanchez,Impresora,Oficina,5,34,171,Aereo,Cancelado
74,15/2/2024,Uruguay,Montevideo,Juan Perez,Impresora,Oficina,1,411,411,Terrestre,Entregado
75,26/7/2024,Peru,Cusco,Juan Rodriguez,Teclado,Accesorios,3,301,905,Aereo,Entregado
76,15/2/2024,Bolivia,Cochabamba,Maria Garcia,Laptop,Electronica,1,767,767,Aereo,Pendiente
77,13/1/2025,Venezuela,Caracas,Laura Martinez,Teclado,Accesorios,1,35,35,Aereo,Pendiente
78,18/6/2024,Brasil,Sao Paulo,Juan Martinez,Escritorio,Muebles,5,484,2421,Aereo,En transito
79,4/7/2024,Peru,Cusco,Laura Rodriguez,Impresora,Oficina,1,517,517,Aereo,Pendiente
80,30/10/2024,Venezuela,Caracas,Ana Perez,Auriculares,Accesorios,2,553,1106,Maritimo,Entregado
81,19/10/2024,Uruguay,Montevideo,Pedro Sanchez,Laptop,Electronica,2,967,1935,Aereo,Pendiente
82,2/8/2024,Venezuela,Maracaibo,Luis Rodriguez,Celular,Electronica,2,416,832,Aereo,Entregado
83,19/6/2024,Uruguay,Montevideo,Ana Perez,Teclado,Accesorios,1,564,564,Maritimo,Entregado
84,7/3/2025,Colombia,Medellin,Luis Martinez,Camara,Electronica,3,1144,3434,Maritimo,En transito
85,1/10/2024,Ecuador,Quito,Pedro Rodriguez,Tablet,Electronica,1,578,578,Maritimo,Pendiente
86,19/9/2024,Chile,Santiago,Juan Lopez,Celular,Electronica,1,123,123,Aereo,Pendiente
87,1/3/2025,Venezuela,Maracaibo,Maria Martinez,Monitor,Electronica,4,584,2338,Maritimo,En transito
88,11/11/2024,Uruguay,Paysandu,Juan Garcia,Celular,Electronica,2,125,250,Maritimo,En transito
89,27/9/2024,Colombia,Cali,Ana Martinez,Impresora,Oficina,5,1162,5813,Maritimo,Entregado
90,19/5/2024,Peru,Lima,Maria Rodriguez,Auriculares,Accesorios,4,682,2730,Terrestre,En transito
91,3/1/2025,Paraguay,Ciudad del Este,Laura Rodriguez,Tablet,Electronica,3,564,1693,Aereo,En transito
92,17/5/2024,Uruguay,Salto,Maria Garcia,Teclado,Accesorios,4,944,3776,Aereo,Cancelado
93,16/4/2024,Venezuela,Valencia,Maria Perez,Camara,Electronica,4,287,1151,Maritimo,Pendiente
94,25/3/2024,Paraguay,Ciudad del Este,Luis Lopez,Teclado,Accesorios,4,381,1525,Aereo,En transito
95,4/2/2025,Uruguay,Paysandu,Juan Garcia,Escritorio,Muebles,1,543,543,Terrestre,En transito
96,12/1/2025,Chile,Santiago,Luis Martinez,Silla ergonomica,Muebles,1,723,723,Aereo,Entregado
97,21/9/2024,Colombia,Medellin,Laura Rodriguez,Celular,Electronica,1,483,483,Terrestre,Pendiente
98,7/6/2024,Paraguay,Ciudad del Este,Lucia Perez,Tablet,Electronica,4,370,1482,Maritimo,En transito
99,1/9/2024,Venezuela,Caracas,Ana Sanchez,Camara,Electronica,4,483,1933,Aereo,Entregado
100,27/3/2024,Bolivia,Santa Cruz,Juan Lopez,Laptop,Electronica,3,339,1018,Maritimo,Cancelado
101,15/3/2024,Uruguay,Montevideo,Luis Lopez,Celular,Electronica,2,378,757,Terrestre,Entregado
102,2/5/2024,Argentina,Cordoba,Ana Garcia,Laptop,Electronica,5,977,4888,Aereo,Pendiente
103,9/4/2024,Brasil,Rio de Janeiro,Luis Sanchez,Laptop,Electronica,4,1072,4289,Terrestre,Entregado
104,5/5/2024,Ecuador,Cuenca,Pedro Sanchez,Monitor,Electronica,1,295,295,Aereo,Cancelado
105,17/12/2024,Peru,Lima,Pedro Lopez,Silla ergonomica,Muebles,3,733,2201,Terrestre,En transito
106,5/3/2024,Colombia,Bogota,Lucia Martinez,Impresora,Oficina,5,559,2799,Terrestre,Cancelado
107,15/3/2024,Colombia,Cali,Maria Perez,Escritorio,Muebles,1,89,89,Aereo,Entregado
108,2/8/2024,Chile,Concepcion,Ana Lopez,Silla ergonomica,Muebles,2,726,1452,Terrestre,En transito
109,23/7/2024,Colombia,Cali,Ana Martinez,Silla ergonomica,Muebles,1,101,101,Terrestre,Entregado
110,26/8/2024,Brasil,Brasilia,Laura Garcia,Laptop,Electronica,2,352,704,Terrestre,Pendiente
111,20/7/2024,Venezuela,Caracas,Carlos Rodriguez,Escritorio,Muebles,5,387,1939,Terrestre,Entregado
112,20/5/2024,Argentina,Buenos Aires,Juan Rodriguez,Camara,Electronica,2,94,188,Maritimo,Entregado
113,12/9/2024,Ecuador,Cuenca,Lucia Lopez,Impresora,Oficina,5,588,2941,Terrestre,En transito
114,8/2/2025,Paraguay,Encarnacion,Maria Martinez,Silla ergonomica,Muebles,5,710,3550,Aereo,Cancelado
115,12/12/2024,Bolivia,La Paz,Lucia Sanchez,Celular,Electronica,4,28,113,Terrestre,Pendiente
116,15/7/2024,Chile,Santiago,Lucia Lopez,Escritorio,Muebles,3,706,2119,Aereo,En transito
117,9/1/2024,Paraguay,Ciudad del Este,Lucia Martinez,Monitor,Electronica,3,709,2129,Terrestre,Cancelado
118,11/9/2024,Chile,Santiago,Juan Martinez,Camara,Electronica,2,50,101,Maritimo,Pendiente
119,29/5/2024,Brasil,Brasilia,Laura Sanchez,Camara,Electronica,2,139,279,Aereo,Cancelado
120,23/4/2024,Brasil,Rio de Janeiro,Carlos Sanchez,Escritorio,Muebles,2,73,146,Aereo,Cancelado
121,25/1/2024,Brasil,Sao Paulo,Pedro Sanchez,Monitor,Electronica,3,891,2675,Terrestre,Cancelado
122,31/12/2024,Peru,Cusco,Lucia Martinez,Impresora,Oficina,2,938,1877,Terrestre,Entregado
123,30/8/2024,Peru,Lima,Luis Lopez,Camara,Electronica,3,888,2666,Maritimo,Cancelado
124,13/3/2024,Paraguay,Encarnacion,Carlos Sanchez,Auriculares,Accesorios,3,39,117,Aereo,Pendiente
125,17/1/2025,Bolivia,Santa Cruz,Luis Garcia,Tablet,Electronica,2,778,1557,Aereo,Pendiente
126,19/8/2024,Bolivia,Santa Cruz,Lucia Garcia,Silla ergonomica,Muebles,2,928,1857,Terrestre,Entregado
127,3/11/2024,Chile,Santiago,Laura Rodriguez,Celular,Electronica,2,658,1317,Aereo,Cancelado
128,15/8/2024,Argentina,Cordoba,Laura Sanchez,Teclado,Accesorios,3,979,2939,Terrestre,Pendiente
129,25/6/2024,Chile,Santiago,Lucia Martinez,Camara,Electronica,4,405,1620,Aereo,Pendiente
130,28/6/2024,Chile,Santiago,Lucia Sanchez,Celular,Electronica,5,1129,5647,Maritimo,Pendiente
131,29/12/2024,Venezuela,Maracaibo,Maria Sanchez,Monitor,Electronica,3,601,1803,Terrestre,Pendiente
132,12/4/2024,Colombia,Medellin,Lucia Garcia,Camara,Electronica,4,265,1060,Terrestre,En transito
133,12/10/2024,Bolivia,La Paz,Juan Martinez,Escritorio,Muebles,1,1119,1119,Maritimo,Pendiente
134,25/1/2024,Chile,Santiago,Maria Rodriguez,Celular,Electronica,3,381,1143,Maritimo,Entregado
135,6/1/2025,Bolivia,La Paz,Lucia Garcia,Teclado,Accesorios,1,1104,1104,Terrestre,Pendiente
136,28/8/2024,Brasil,Brasilia,Maria Martinez,Auriculares,Accesorios,5,688,3440,Terrestre,Cancelado
137,14/7/2024,Ecuador,Guayaquil,Laura Sanchez,Tablet,Electronica,5,392,1961,Aereo,En transito
138,14/3/2025,Chile,Santiago,Carlos Rodriguez,Camara,Electronica,4,320,1283,Aereo,Cancelado
139,8/5/2024,Colombia,Bogota,Juan Sanchez,Impresora,Oficina,5,37,188,Aereo,En transito
140,12/1/2025,Argentina,Buenos Aires,Maria Sanchez,Teclado,Accesorios,2,95,190,Terrestre,Cancelado
141,26/7/2024,Uruguay,Paysandu,Carlos Rodriguez,Teclado,Accesorios,4,1152,4610,Terrestre,Entregado
142,3/4/2024,Colombia,Medellin,Carlos Perez,Impresora,Oficina,1,115,115,Maritimo,Cancelado
143,10/10/2024,Ecuador,Guayaquil,Maria Lopez,Silla ergonomica,Muebles,1,889,889,Aereo,En transito
144,10/6/2024,Ecuador,Guayaquil,Pedro Sanchez,Camara,Electronica,5,180,900,Maritimo,En transito
145,3/2/2024,Argentina,Rosario,Carlos Lopez,Impresora,Oficina,2,332,664,Maritimo,Cancelado
146,15/3/2024,Bolivia,Santa Cruz,Carlos Rodriguez,Camara,Electronica,3,472,1416,Maritimo,En transito
147,25/8/2024,Peru,Arequipa,Lucia Lopez,Camara,Electronica,3,215,646,Maritimo,En transito
148,2/2/2024,Peru,Cusco,Carlos Martinez,Tablet,Electronica,5,1007,5035,Aereo,Pendiente
149,18/10/2024,Paraguay,Ciudad del Este,Maria Garcia,Celular,Electronica,4,176,707,Aereo,En transito
150,7/6/2024,Uruguay,Paysandu,Carlos Martinez,Auriculares,Accesorios,3,572,1717,Aereo,Cancelado
151,23/5/2024,Argentina,Rosario,Maria Rodriguez,Silla ergonomica,Muebles,2,61,122,Terrestre,En transito
152,12/7/2024,Chile,Santiago,Laura Rodriguez,Tablet,Electronica,1,1041,1041,Aereo,Entregado
153,25/12/2024,Paraguay,Ciudad del Este,Carlos Sanchez,Escritorio,Muebles,3,1067,3201,Terrestre,Entregado
154,17/10/2024,Uruguay,Montevideo,Pedro Sanchez,Escritorio,Muebles,2,1192,2384,Terrestre,Cancelado
155,4/8/2024,Peru,Lima,Carlos Sanchez,Silla ergonomica,Muebles,5,381,1906,Terrestre,Pendiente
156,17/7/2024,Ecuador,Quito,Carlos Garcia,Impresora,Oficina,1,1024,1024,Aereo,Pendiente
157,31/7/2024,Argentina,Buenos Aires,Luis Rodriguez,Silla ergonomica,Muebles,5,1103,5519,Maritimo,Cancelado
158,7/4/2024,Peru,Lima,Maria Martinez,Auriculares,Accesorios,2,294,588,Aereo,En transito
159,16/8/2024,Argentina,Cordoba,Luis Martinez,Impresora,Oficina,1,1009,1009,Terrestre,Cancelado
160,3/12/2024,Venezuela,Valencia,Carlos Lopez,Escritorio,Muebles,4,442,1771,Aereo,En transito
161,22/2/2024,Chile,Valparaiso,Ana Rodriguez,Laptop,Electronica,3,921,2764,Terrestre,Pendiente
162,19/9/2024,Peru,Lima,Pedro Rodriguez,Tablet,Electronica,4,836,3345,Terrestre,Entregado
163,27/2/2025,Argentina,Cordoba,Pedro Lopez,Impresora,Oficina,2,203,407,Aereo,Pendiente
164,9/1/2025,Argentina,Rosario,Lucia Perez,Silla ergonomica,Muebles,2,268,537,Terrestre,Pendiente
165,27/6/2024,Chile,Santiago,Pedro Garcia,Escritorio,Muebles,1,431,431,Terrestre,Pendiente
166,22/3/2025,Paraguay,Encarnacion,Ana Sanchez,Celular,Electronica,4,1166,4664,Aereo,Pendiente
167,24/8/2024,Brasil,Rio de Janeiro,Maria Rodriguez,Silla ergonomica,Muebles,3,118,356,Terrestre,Entregado
168,12/12/2024,Brasil,Rio de Janeiro,Lucia Sanchez,Auriculares,Accesorios,5,94,472,Terrestre,En transito
169,15/9/2024,Argentina,Cordoba,Maria Rodriguez,Celular,Electronica,3,697,2091,Maritimo,Entregado
170,25/7/2024,Peru,Lima,Lucia Lopez,Escritorio,Muebles,3,781,2345,Maritimo,Pendiente
171,9/1/2025,Argentina,Rosario,Maria Lopez,Laptop,Electronica,4,1171,4686,Maritimo,En transito
172,14/7/2024,Chile,Concepcion,Carlos Garcia,Monitor,Electronica,5,1161,5808,Terrestre,Pendiente
173,2/1/2024,Colombia,Medellin,Ana Rodriguez,Escritorio,Muebles,2,126,252,Aereo,En transito
174,1/7/2024,Bolivia,La Paz,Pedro Garcia,Impresora,Oficina,3,1087,3263,Terrestre,Entregado
175,15/10/2024,Paraguay,Ciudad del Este,Lucia Perez,Laptop,Electronica,3,549,1649,Maritimo,Entregado
176,30/3/2024,Uruguay,Montevideo,Maria Sanchez,Laptop,Electronica,5,239,1198,Aereo,Pendiente
177,26/10/2024,Brasil,Sao Paulo,Maria Lopez,Teclado,Accesorios,2,1082,2164,Terrestre,Cancelado
178,16/3/2025,Chile,Valparaiso,Luis Perez,Auriculares,Accesorios,1,456,456,Maritimo,Entregado
179,29/10/2024,Ecuador,Quito,Juan Sanchez,Silla ergonomica,Muebles,5,371,1856,Aereo,Pendiente
180,29/9/2024,Uruguay,Paysandu,Pedro Garcia,Teclado,Accesorios,1,573,573,Aereo,En transito
181,9/3/2024,Chile,Santiago,Juan Sanchez,Impresora,Oficina,4,145,583,Aereo,Cancelado
182,10/4/2024,Colombia,Cali,Pedro Lopez,Celular,Electronica,3,500,1501,Aereo,Cancelado
183,16/6/2024,Colombia,Bogota,Luis Sanchez,Escritorio,Muebles,1,398,398,Maritimo,Pendiente
184,20/5/2024,Colombia,Medellin,Pedro Garcia,Auriculares,Accesorios,5,621,3108,Aereo,Pendiente
185,10/10/2024,Ecuador,Guayaquil,Carlos Sanchez,Escritorio,Muebles,1,817,817,Terrestre,En transito
186,24/11/2024,Colombia,Medellin,Luis Lopez,Teclado,Accesorios,3,521,1563,Maritimo,Entregado
187,23/2/2025,Colombia,Cali,Carlos Lopez,Celular,Electronica,3,1013,3040,Terrestre,Pendiente
188,22/11/2024,Chile,Valparaiso,Pedro Sanchez,Tablet,Electronica,2,237,475,Terrestre,Pendiente
189,26/1/2024,Paraguay,Ciudad del Este,Maria Martinez,Teclado,Accesorios,2,1196,2393,Maritimo,Pendiente
190,9/2/2025,Bolivia,Santa Cruz,Ana Garcia,Escritorio,Muebles,4,549,2196,Maritimo,Cancelado
191,11/1/2025,Colombia,Cali,Carlos Rodriguez,Monitor,Electronica,1,957,957,Terrestre,En transito
192,21/1/2025,Paraguay,Asuncion,Maria Rodriguez,Silla ergonomica,Muebles,5,482,2410,Terrestre,Entregado
193,3/11/2024,Paraguay,Ciudad del Este,Laura Lopez,Camara,Electronica,5,572,2861,Terrestre,Pendiente
194,13/10/2024,Uruguay,Paysandu,Pedro Garcia,Laptop,Electronica,3,1027,3083,Maritimo,Pendiente
195,17/11/2024,Peru,Cusco,Laura Lopez,Escritorio,Muebles,4,219,876,Maritimo,En transito
196,22/2/2025,Ecuador,Cuenca,Laura Lopez,Teclado,Accesorios,1,163,163,Terrestre,En transito
197,7/3/2025,Argentina,Rosario,Lucia Martinez,Teclado,Accesorios,4,216,864,Terrestre,Cancelado
198,20/3/2024,Brasil,Brasilia,Carlos Perez,Teclado,Accesorios,2,895,1791,Maritimo,Pendiente
199,24/12/2024,Venezuela,Maracaibo,Lucia Lopez,Celular,Electronica,4,801,3204,Terrestre,Entregado
200,5/1/2025,Colombia,Medellin,Carlos Rodriguez,Impresora,Oficina,5,1008,5044,Maritimo,Entregado
201,21/1/2025,Ecuador,Cuenca,Juan Garcia,Camara,Electronica,2,807,1614,Terrestre,En transito
202,16/6/2024,Ecuador,Guayaquil,Juan Sanchez,Monitor,Electronica,4,1094,4379,Maritimo,Pendiente
203,16/4/2024,Brasil,Brasilia,Lucia Garcia,Teclado,Accesorios,1,167,167,Aereo,Cancelado
204,27/12/2024,Chile,Concepcion,Maria Rodriguez,Tablet,Electronica,2,217,435,Aereo,Pendiente
205,16/9/2024,Paraguay,Asuncion,Ana Garcia,Celular,Electronica,3,985,2957,Aereo,En transito
206,29/2/2024,Ecuador,Guayaquil,Juan Sanchez,Camara,Electronica,3,1096,3290,Terrestre,Pendiente
207,20/11/2024,Chile,Santiago,Luis Lopez,Laptop,Electronica,1,602,602,Maritimo,Cancelado
208,20/2/2025,Argentina,Rosario,Juan Perez,Auriculares,Accesorios,1,140,140,Terrestre,Entregado
209,15/3/2025,Ecuador,Quito,Luis Rodriguez,Teclado,Accesorios,4,119,479,Terrestre,En transito
210,1/3/2025,Ecuador,Quito,Juan Sanchez,Silla ergonomica,Muebles,1,542,542,Aereo,Cancelado
211,10/12/2024,Uruguay,Montevideo,Carlos Martinez,Camara,Electronica,2,273,546,Terrestre,Cancelado
212,28/6/2024,Paraguay,Ciudad del Este,Luis Perez,Auriculares,Accesorios,4,585,2340,Aereo,Cancelado
213,15/3/2025,Bolivia,La Paz,Pedro Lopez,Laptop,Electronica,2,1179,2359,Maritimo,Cancelado
214,1/9/2024,Brasil,Brasilia,Juan Perez,Monitor,Electronica,4,125,503,Aereo,Cancelado
215,18/5/2024,Ecuador,Guayaquil,Luis Sanchez,Camara,Electronica,5,668,3340,Aereo,Entregado
216,7/12/2024,Ecuador,Cuenca,Ana Garcia,Monitor,Electronica,2,1041,2082,Terrestre,Cancelado
217,14/9/2024,Paraguay,Encarnacion,Laura Sanchez,Silla ergonomica,Muebles,2,315,631,Aereo,Pendiente
218,26/3/2024,Paraguay,Ciudad del Este,Ana Martinez,Tablet,Electronica,1,630,630,Terrestre,Pendiente
219,26/1/2024,Argentina,Cordoba,Maria Martinez,Monitor,Electronica,2,413,826,Maritimo,Cancelado
220,2/2/2024,Bolivia,Cochabamba,Luis Martinez,Impresora,Oficina,5,57,288,Aereo,Entregado
221,14/4/2024,Peru,Cusco,Pedro Rodriguez,Auriculares,Accesorios,4,1100,4401,Aereo,Pendiente
222,12/12/2024,Peru,Arequipa,Carlos Rodriguez,Camara,Electronica,1,621,621,Terrestre,Cancelado
223,23/2/2024,Chile,Valparaiso,Juan Rodriguez,Impresora,Oficina,2,543,1086,Terrestre,Pendiente
224,3/5/2024,Argentina,Cordoba,Lucia Sanchez,Escritorio,Muebles,2,641,1282,Aereo,Entregado
225,30/8/2024,Colombia,Medellin,Luis Martinez,Celular,Electronica,3,445,1337,Maritimo,Cancelado
226,1/7/2024,Uruguay,Montevideo,Laura Rodriguez,Camara,Electronica,3,370,1111,Terrestre,Entregado
227,25/10/2024,Ecuador,Quito,Luis Sanchez,Celular,Electronica,3,834,2504,Maritimo,En transito
228,7/2/2024,Uruguay,Montevideo,Luis Sanchez,Celular,Electronica,4,421,1686,Aereo,Entregado
229,6/7/2024,Brasil,Rio de Janeiro,Lucia Rodriguez,Monitor,Electronica,2,478,956,Terrestre,Entregado
230,3/1/2025,Bolivia,Santa Cruz,Maria Lopez,Escritorio,Muebles,3,897,2692,Aereo,En transito
231,8/7/2024,Venezuela,Valencia,Ana Perez,Impresora,Oficina,1,211,211,Aereo,Cancelado
232,4/5/2024,Paraguay,Encarnacion,Carlos Martinez,Laptop,Electronica,2,656,1312,Aereo,Entregado
233,17/1/2025,Bolivia,La Paz,Laura Martinez,Monitor,Electronica,5,918,4594,Maritimo,Entregado
234,14/10/2024,Venezuela,Caracas,Luis Garcia,Celular,Electronica,5,373,1868,Terrestre,Pendiente
235,19/6/2024,Ecuador,Guayaquil,Lucia Sanchez,Escritorio,Muebles,5,829,4147,Aereo,Pendiente
236,1/7/2024,Colombia,Medellin,Maria Martinez,Monitor,Electronica,5,417,2089,Terrestre,Cancelado
237,6/3/2024,Uruguay,Salto,Pedro Perez,Silla ergonomica,Muebles,5,872,4361,Aereo,En transito
238,30/6/2024,Bolivia,Santa Cruz,Ana Garcia,Celular,Electronica,5,481,2408,Terrestre,Cancelado
239,20/7/2024,Venezuela,Valencia,Maria Garcia,Celular,Electronica,1,924,924,Terrestre,Pendiente
240,7/1/2024,Bolivia,Santa Cruz,Luis Garcia,Celular,Electronica,4,439,1759,Aereo,En transito
241,28/2/2024,Uruguay,Paysandu,Juan Lopez,Laptop,Electronica,5,737,3689,Terrestre,En transito
